Number of frames: 2500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
71,65.102577209,261.724121094,-2894.094238281,59.148563385,263.452789307,-2874.824951172,65.206985474,261.496154785,-2885.314697266,68.674606323,257.768157959,-2922.223876953,63.478958130,254.263244629,-2938.998046875,67.811836243,256.531250000,-2930.858398438,
72,65.563240051,261.570556641,-2894.380859375,59.783809662,262.926361084,-2875.036132813,65.783859253,261.210479736,-2885.593994141,68.997314453,258.043487549,-2922.582763672,63.695602417,254.726348877,-2939.367431641,68.076683044,256.918212891,-2931.225830078,
73,66.000633240,261.398345947,-2894.681884766,60.342716217,262.453521729,-2875.294433594,66.260574341,260.939147949,-2885.910888672,69.239555359,258.291412354,-2922.970458984,63.863170624,255.138442993,-2939.752929688,68.292716980,257.269683838,-2931.600341797,
74,66.346427917,261.220367432,-2895.038085938,60.797874451,261.929992676,-2875.604492188,66.704177856,260.621551514,-2886.270996094,69.408782959,258.562255859,-2923.394287109,63.976741791,255.580490112,-2940.178222656,68.456420898,257.635009766,-2932.020751953,
75,66.739234924,260.995880127,-2895.433837891,61.340404510,261.348052979,-2875.956787109,67.172523499,260.244476318,-2886.680908203,69.593215942,258.823181152,-2923.863525391,64.070549011,256.057800293,-2940.640380859,68.595611572,258.029571533,-2932.484375000,
76,67.088264465,260.749786377,-2895.861083984,61.764347076,260.735809326,-2876.370849609,67.571784973,259.838500977,-2887.130126953,69.773208618,259.062622070,-2924.350830078,64.144042969,256.552581787,-2941.133056641,68.711746216,258.423583984,-2932.968505859,
77,67.319038391,260.479553223,-2896.311523438,62.109916687,260.082092285,-2876.801269531,67.838958740,259.416717529,-2887.600830078,69.900032043,259.307098389,-2924.845703125,64.211380005,257.067504883,-2941.635986328,68.805496216,258.811218262,-2933.457275391,
78,67.505699158,260.184265137,-2896.811767578,62.380279541,259.383392334,-2877.299072266,68.090927124,258.949279785,-2888.122070313,69.970603943,259.590576172,-2925.392089844,64.241455078,257.608917236,-2942.177246094,68.852355957,259.224334717,-2933.982666016,
79,67.678817749,259.885650635,-2897.373291016,62.686985016,258.657012939,-2877.867919922,68.350753784,258.461791992,-2888.712646484,69.746795654,259.362121582,-2926.077636719,64.193679810,258.199279785,-2942.764648438,68.813636780,259.686859131,-2934.568603516,
80,67.848800659,259.570556641,-2897.970703125,63.022289276,257.903228760,-2878.469238281,68.587791443,257.960937500,-2889.344726563,69.765754700,259.650360107,-2926.692138672,64.100364685,258.824401855,-2943.365478516,68.745162964,260.162597656,-2935.171875000,
